rno,floor,name
1,floor1,17212호실
2,floor1,17213호실
3,floor1,17214호실
4,floor1,17215호실
5,floor1,17216호실
6,floor1,17217호실
7,floor2,17304호실
8,floor2,17305호실
9,floor2,17306호실
10,floor2,17307호실
11,floor2,17308호실
12,floor2,17309호실
13,floor3,17405호실
14,floor3,17406호실
15,floor3,17407호실
16,floor4,Amber Orange
17,floor4,Coral Orange
18,floor4,Neon Orange
19,floor4,Sienna Orange
20,floor4,Green
21,floor4,Violet (MAC용)
22,floor4,Violet (Windows용)
23,floor5,17506호실
24,floor5,17507호실
25,floor5,17508호실
26,floor5,17509호실